Code,Date,Price,Flag,Auto
600000,2015-08-25,11.42,lower,True
600004,2016-03-01,11.18,lower,True
600005,2016-02-03,2.69,lower,True
600006,2016-02-03,5.81,lower,True
600007,2015-07-08,11,lower,True
600008,2016-02-01,3.36,lower,True
600009,2015-07-08,23.57,lower,True
600010,2016-09-27,2.77,lower,True
600011,2016-02-15,6.26,lower,True
600012,2015-09-15,8.93,lower,True
600015,2015-08-25,8.87,lower,True
600016,2015-08-26,7.59,lower,True
600017,2016-09-30,3.94,lower,True
600018,2016-02-15,4.51,lower,True
600019,2016-02-15,4.81,lower,True
600020,2016-06-14,4.21,lower,True
600021,2016-02-01,9.65,lower,True
600022,2016-06-14,2.37,lower,True
600023,2016-05-30,4.92,lower,True
600026,2016-06-27,5.87,lower,True
600027,2016-02-15,4.7,lower,True
600028,2016-02-03,4.15,lower,True
600029,2016-03-01,5.87,lower,True
600030,2015-09-28,12.98,lower,True
600031,2016-02-15,4.7,lower,True
600033,2016-05-26,3.08,lower,True
600035,2015-09-29,4.28,lower,True
600036,2016-02-26,13.88,lower,True
600037,2016-03-01,13.71,lower,True
600038,2015-09-15,37.65,lower,True
600039,2016-06-14,3.68,lower,True
600048,2015-08-25,7.18,lower,True
600050,2016-06-22,3.78,lower,True
600051,2015-09-15,8.38,lower,True
600052,2015-09-29,5.63,lower,True
600053,2015-11-12,14.2,lower,True
600054,2015-07-07,9.88,lower,True
600055,2016-03-01,14.75,lower,True
600056,2016-03-01,11.67,lower,True
600057,2015-07-08,7.83,lower,True
600058,2016-03-01,13.98,lower,True
600059,2016-02-01,8.14,lower,True
600060,2016-03-01,12.87,lower,True
600061,2015-09-15,12.67,lower,True
600062,2016-03-01,15.99,lower,True
600063,2016-01-29,4.13,lower,True
600064,2016-01-28,12.92,lower,True
600066,2015-07-08,16.4,lower,True
600067,2016-02-15,6.09,lower,True
600068,2016-02-15,5.17,lower,True
600069,2015-09-15,3.7,lower,True
600070,2015-09-15,7.53,lower,True
600071,2015-09-15,14.15,lower,True
600072,2016-01-29,12.24,lower,True
600073,2016-02-15,8.78,lower,True
600074,2016-01-18,10.28,lower,True
600075,2016-01-29,6.89,lower,True
600076,2015-05-18,5.8,lower,True
600077,2016-02-01,4.5,lower,True
600078,2016-02-01,5.51,lower,True
600079,2015-09-18,14.31,lower,True
600080,2015-09-15,7.7,lower,True
600081,2015-07-08,11.5,lower,True
600082,2015-07-08,4.92,lower,True
600083,2015-07-08,8.03,lower,True
600084,2016-01-28,4.89,lower,True
600085,2015-07-08,22.1,lower,True
600086,2016-01-28,8.17,lower,True
600088,2015-09-15,17.77,lower,True
600089,2016-06-14,8.02,lower,True
600090,2015-07-08,10.04,lower,True
600091,2015-09-07,7.3,lower,True
600093,2015-08-25,11.13,lower,True
600094,2016-01-28,6.61,lower,True
600095,2015-07-08,7.04,lower,True
600096,2015-07-08,8.21,lower,True
600097,2016-02-15,13.67,lower,True
600098,2015-07-08,7.42,lower,True
600099,2016-01-28,9.01,lower,True
