code,name,c_name
000006,深振业Ａ,证金持股
000027,深圳能源,证金持股
000028,国药一致,证金持股
000030,富奥股份,证金持股
000031,中粮地产,证金持股
000039,中集集团,证金持股
000046,泛海控股,证金持股
000049,德赛电池,证金持股
000060,中金岭南,证金持股
000063,中兴通讯,证金持股
000069,华侨城Ａ,证金持股
000088,盐 田 港,证金持股
000090,天健集团,证金持股
000099,中信海直,证金持股
000156,华数传媒,证金持股
000157,中联重科,证金持股
000333,美的集团,证金持股
000338,潍柴动力,证金持股
000400,许继电气,证金持股
000402,金 融 街,证金持股
000422,湖北宜化,证金持股
000423,东阿阿胶,证金持股
000511,*ST烯碳,证金持股
000513,丽珠集团,证金持股
000525,红 太 阳,证金持股
000528,柳 工,证金持股
000538,云南白药,证金持股
000539,粤电力Ａ,证金持股
000540,中天城投,证金持股
000543,皖能电力,证金持股
000550,江铃汽车,证金持股
000552,靖远煤电,证金持股
000563,陕国投Ａ,证金持股
000568,泸州老窖,证金持股
000572,海马汽车,证金持股
000581,威孚高科,证金持股
000592,平潭发展,证金持股
000600,建投能源,证金持股
000612,焦作万方,证金持股
000616,海航投资,证金持股
000623,吉林敖东,证金持股
000625,长安汽车,证金持股
000629,*ST钒钛,证金持股
000631,顺发恒业,证金持股
000651,格力电器,证金持股
000652,泰达股份,证金持股
000656,金科股份,证金持股
000661,长春高新,证金持股
000667,美好置业,证金持股
000669,金鸿能源,证金持股
000680,山推股份,证金持股
000690,宝新能源,证金持股
000719,大地传媒,证金持股
000726,鲁 泰Ａ,证金持股
000728,国元证券,证金持股
000729,燕京啤酒,证金持股
000758,中色股份,证金持股
000762,西藏矿业,证金持股
000768,中航飞机,证金持股
000776,广发证券,证金持股
000777,中核科技,证金持股
000780,平庄能源,证金持股
000783,长江证券,证金持股
000788,北大医药,证金持股
000816,智慧农业,证金持股
000823,超声电子,证金持股
000825,太钢不锈,证金持股
000829,天音控股,证金持股
000830,鲁西化工,证金持股
000848,承德露露,证金持股
000852,石化机械,证金持股
000858,五 粮 液,证金持股
000869,张 裕Ａ,证金持股
000876,新 希 望,证金持股
000877,天山股份,证金持股
000883,湖北能源,证金持股
000895,双汇发展,证金持股
000897,津滨发展,证金持股
000898,鞍钢股份,证金持股
000900,现代投资,证金持股
000919,金陵药业,证金持股
000921,海信科龙,证金持股
000930,中粮生化,证金持股
000931,中 关 村,证金持股
000939,凯迪生态,证金持股
000951,中国重汽,证金持股
000961,中南建设,证金持股
000962,*ST东钽,证金持股
000975,银泰资源,证金持股
000988,华工科技,证金持股
000997,新 大 陆,证金持股
000999,华润三九,证金持股
002012,凯恩股份,证金持股
002022,科华生物,证金持股
002028,思源电气,证金持股
002029,七 匹 狼,证金持股
002030,达安基因,证金持股
002038,双鹭药业,证金持股
002041,登海种业,证金持股
002048,宁波华翔,证金持股
002064,华峰氨纶,证金持股
